job_title,salary,location,company_size,experience_level,employment_type,skills,experience_level_value,company_size_value,employment_type_value
Product Data Analyst,120000,"Austin, TX, Huntsville,AL, US",Startup,Sr,Part-time,"Google Cloud,Excel,AWS,",3,1,2
DATA ANALYST,65000,"Huntsville,AL, New York, NY, Dallas, TX",Large,Sr,Contract,"Python,Excel,Google Cloud,SQL",3,3,4
Data Analyst,65000,"Anywhere, Huntsville,AL, New York, NY",Unknown,Jr,Part-time,"R,Tableau,AWS,Excel,",1,0,2
Marketing Data Analyst,0,"Houston,TX",Large,Jr,Freelance,"Google Cloud,Azure",1,3,6
Data Analyst II,65000,"Remote, New York, NY",Small,Jr,Freelance,"Power BI, Azure, Excel, Google Cloud",1,0,6
Senior Data Analyst,0,"Houston,TX, Huntsville,AL, Remote",Startup,Jr,Part-time,"Azure,R,Power BI",1,1,2
Senior Data Analyst,95000,"Dallas, TX, New York, NY, London, UK",Medium,Sr,Contract,"SQL,AWS,Excel",3,2,4
Sr. Data Analyst,65000,"New York, NY",Huge,Jr,Regular,"R, Excel, Tableau, AWS, SQL",1,4,3
Marketing Data Analyst,120000,"San Francisco, CA",Large,Mi,Regular,"Power BI , Azure , Google Cloud , R ,",2,3,3
DATA ANALYST,95000.0,"Austin, TX, London, UK",Huge,Mi,Freelance,"AWS , Tableau , Azure , R , Excel",2,4,6
Product Data Analyst,110000,"Austin, TX, Huntsville,AL, Remote",Small,Mi,Freelance,"Excel, SQL, Tableau, AWS, Power BI",2,0,6
Marketing Data Analyst,0,"New York, NY, San Francisco, CA, Houston,TX",Large,None,Part-time,"Google Cloud, R",0,3,2
BI Analyst,70000,"US, Houston,TX, London, UK",Startup,Sr,Part-time,",AWS",3,1,2
DATA ANALYST,0,"US, Remote",Unknown,Jr,Full-time,"SQL,AWS,Tableau",1,0,1
Data Analyst - Remote,110000,"Remote, Anywhere, Austin, TX",Small,Jr,Part-time,"Power BI,Tableau,R",1,0,2
Junior Data Analyst,0,"New York, NY, US, Dallas, TX",Medium,Sr,Temporary,,3,2,5
Data Analyst,50,"Houston,TX, San Francisco, CA",Large,Pr,Full-time,"Azure , Python",4,3,1
Data Analyst,110000,"San Francisco, CA, Houston,TX, US",Huge,Pr,Freelance,"Azure, Python, AWS, Excel",4,4,6
DATA ANALYST,0,"San Francisco, CA, Houston,TX",Huge,Pr,Contract,"Power BI, , AWS, SQL",4,4,4
Senior Data Analyst,0,"Houston,TX, US",Huge,Jr,Full-time,"Python , Google Cloud , Tableau , Azure",1,4,1
Senior Data Analyst,70000,"Anywhere, Austin, TX, Huntsville,AL",Large,Pr,Full-time,"Tableau , Python , Excel , Power BI",4,3,1
BI Analyst,70000,"London, UK",Unknown,Mi,Part-time,"Azure,AWS,Power BI",2,0,2
